"","Site.No","Site.Name","Street.Address","City..State.Zip","County","Enforcement.Action","Enforcement.Action.No","Enforcement.Action.Issued","Case.Closed","Media","Program","Latitude","Longitude"
"946",143029,"WM Davis Development-St. Mary's Industrial Park Lot 10","43960 Airport View Dr","Hollywood,MD,20636","St. Mary's","Penalty Settlement","SAP-12-1667","10/07/2015","12/08/2015","Notice of Intent","Notice of Intent (Construction)",38.3189380115806,-76.5547640046781
"947",143105,"MES-Rocky Gap WTP","12900 Lakeshore Drive","Flintstone,MD,21530","Allegany","Penalty Settlement","PS-15-2193","12/23/2014","01/16/2015","Notice of Intent","Notice of Intent (Construction)",39.6979151215683,-78.6512017977093
"948",143106,"Love's Travel Stop #537","13300 Ali Ghan Road NE","Cumberland,MD,21502","Allegany","Penalty Settlement","C-15-2132","08/15/2014","08/28/2014","Notice of Intent;Sediment","Notice of Intent (Construction)",39.6728309989113,-78.7177100115651
"949",143390,"SMECO Distribution Line US 301 SB, 50 ft south of AT&T access road","US 301 SB, approx. 50 ft. south of AT&T access road","Waldorf,MD,20603","Charles","Penalty Settlement","C-14-2109","06/12/2014","07/25/2014","Non-Tidal Wetlands;Sediment",NA,38.6236700001009,-76.9209499996869
"950",143495,"Spiker Trail Park","Shingle Camp Road","McHenry,MD,21541","Garrett","Penalty Settlement","C-15-2123","08/04/2014","09/11/2014","Non-Tidal Wetlands;Notice of Intent;Sediment;Waterway Construction","Notice of Intent (Construction)",39.5301369198951,-79.3648951827027
"951",143528,"Dick's Sporting Goods #1096","28564 Marlboro Ave","Easton,MD,21601","Talbot","Penalty Settlement","AC-02-8190","01/13/2105","03/05/2015","Sediment",NA,38.7841859823399,-76.0845190365511
"952",143618,"O'Brien Road Improvements","39.101279 -76.760349","Fort George G. Meade,MD,20755","Anne Arundel","Penalty Settlement","C-16-2369","02/15/2016","03/16/2016","Sediment",NA,39.1152862998556,-76.7417253997734
"953",143629,"WSSC - Improper dewatering of sediment from a 60"" Steel Sleeve Water Main","14501 Sweitzer Lane, I-95 SB directly E of WSSC Headquarters","Laurel,MD,20707","Prince George's","Penalty Settlement","C-15-2120","07/18/2014","08/16/2014","Sediment",NA,39.0891199997716,-76.8967999997108
"954",143658,"AA DPW-Baltimore-Annapolis Boulevard","958 Baltimore Annapolis Blvd","Severna Park,MD,21146","Anne Arundel","Penalty Settlement","C-16-2385","04/01/2016","06/07/2016","Sediment",NA,39.0577899941156,-76.5309690386652
"955",143767,"AA DPW-Brighton Place","betwn Penrod Ct and Brighton Pl","Glen Burnie,MD,21061","Anne Arundel","Penalty Settlement","C-16-2386","04/01/2016","05/10/2016","Sediment",NA,39.1795274881713,-76.6264475431415
"956",143786,"Brian Smith","15077 Potomac River Drive","Cobb Island,MD,20625","Charles",NA,NA,"09/17/2019",NA,"Tidal Wetlands",NA,38.265023011637,-76.8574030120966
"957",143857,"1211 Lake Ridge Drive / Thomas Joseph Cable","1211 Lake Ridge Drive","Sunderland,MD,20689","Calvert","Consent Order","C-18-2481","08/16/2017","07/24/2019","Non-Tidal Wetlands;Sediment",NA,38.6580769803924,-76.5750460315174
"958",143857,"1211 Lake Ridge Drive / Thomas Joseph Cable","1211 Lake Ridge Drive","Sunderland,MD,20689","Calvert","Settlement Agreement","C-18-2481","08/16/2017","07/24/2019","Non-Tidal Wetlands;Sediment",NA,38.6580769803924,-76.5750460315174
"959",143863,"2116 Monumental Road","2116 Monumental Avenue","Halethorpe,MD,21227","Baltimore","Penalty Settlement","C-15-2130","08/07/2014","08/24/2015","Sediment",NA,39.235801885845,-76.6753754142734
"960",143924,"Ijamsville Farmland Reclamation Project LLLP","9611 Reichs Ford Rd","Ijamsville,MD,21754","Frederick","Consent Order","CO-16-2301","08/20/2015",NA,"Waterway Construction",NA,39.3594189822614,-77.3365730318288
"961",143976,"La Cuchara","3600 Clipper Mill Rd, Ste 125","Baltimore,MD,21210","Baltimore City",NA,NA,"06/04/2020","06/04/2020","Surface Water Discharge Unauthorized","Industrial Minor",39.3304559865614,-76.6423009969026
"962",144255,"David & Anita Fawcett","21613 Chicken Point Road","Tilghman,MD,21671","Talbot","Penalty Settlement","PS-15-2225","03/04/2015","03/17/2015","Tidal Wetlands",NA,38.7158960192039,-76.330421024648
"963",144272,"Jamie Harrington Property/Secretary","101 Linden Avenue","Secretary,MD,21664","Dorchester","Penalty Settlement","PS-16-2355","01/05/2016","01/28/2016","Surface Water Discharge Unauthorized","Municipal Minor",38.6091211605174,-75.9460909662268
"964",144277,"John Sines","Monta Vista Rd. and Rt.219 South","Oakland,MD,21550","Garrett","Complaint, Order, Penalty","AOP-17-2425","11/09/2016","03/24/2017","Non-Tidal Wetlands;Sediment;Waterway Construction","Notice of Intent (Construction)",39.3824600378213,-79.407839876987
"965",144277,"John Sines","Monta Vista Rd. and Rt.219 South","Oakland,MD,21550","Garrett","Consent Order","SAP-17-2446","03/24/2017","02/08/2018","Non-Tidal Wetlands;Sediment;Waterway Construction","Notice of Intent (Construction)",39.3824600378213,-79.407839876987
"966",144277,"John Sines","Monta Vista Rd. and Rt.219 South","Oakland,MD,21550","Garrett","Settlement Agreement","SAP-17-2446","03/24/2017","02/08/2018","Non-Tidal Wetlands;Sediment;Waterway Construction","Notice of Intent (Construction)",39.3824600378213,-79.407839876987
"967",144338,"Sabate","Mountaindale Rd, Ted Sabate","Thurmont,MD,21788","Frederick","Penalty Settlement","PS-15-2158","09/30/2014","10/17/2014","Notice of Intent;Sediment","Notice of Intent (Construction)",39.5279955062203,-77.4686861810644
"968",144473,"Center at Monocacy Lots 1 and 15","Southern intersection of MD 85 and Pegasus Ct","Frederick,MD,21071","Frederick","Penalty Settlement","C-15-2153","09/30/2014","10/28/2014","Notice of Intent;Sediment","Notice of Intent (Construction)",39.3718600316624,-77.4111499252447
"969",144574,"3901 Twin Arch Rd wetland and floodplain fill","3901 Twin Arch Road","Mount Airy,MD,21771","Frederick","Administrative Order","AOP-15-2263","06/05/2015","09/29/2015","Non-Tidal Wetlands;Sediment;Waterway Construction",NA,39.3594250173108,-77.1360530129091
"970",144574,"3901 Twin Arch Rd wetland and floodplain fill","3901 Twin Arch Road","Mount Airy,MD,21771","Frederick","Administrative Order","DJ-16-2336","09/29/2015","05/18/2016","Non-Tidal Wetlands;Sediment;Waterway Construction",NA,39.3594250173108,-77.1360530129091
"971",144601,"Dollar General Nave's Crossroads","Nave's Crossroads","Cumberland,MD,21502","Allegany","Site Complaint","AP-16-2287","07/25/2014","07/22/2015","Notice of Intent;Sediment","Notice of Intent (Construction)",39.6741762860836,-78.7265993389681
"972",144601,"Dollar General Nave's Crossroads","Nave's Crossroads","Cumberland,MD,21502","Allegany","Complaint & Penalty","AP-16-2287","07/22/2015","03/29/2016","Notice of Intent;Sediment","Notice of Intent (Construction)",39.6741762860836,-78.7265993389681
"973",144617,"Tideland Cooperative Campground","525 Taylors Island Rd","Taylors Island,MD,21669","Dorchester","Consent Order","CO-18-2484","07/18/2017",NA,"Tidal Wetlands","Industrial Minor",38.4686509979994,-76.2950720244688
"974",144716,"3235 Harness Creek Road","3235 Harness Creek Rd","Annapolis,MD,21403","Anne Arundel","Consent Order","COP-18-2488","09/28/2017",NA,"Tidal Wetlands",NA,38.9416950190438,-76.5130190257271
"975",144723,"Almost An Island Investments LLC/45979 Clarks Road","45979 Clarks Road","California,MD,20619","St. Mary's","Penalty Settlement","C-15-2160","10/15/2014","11/05/2014","Sediment",NA,38.3200709933922,-76.4842430299229
"976",144724,"Nelson's Run SWM Revisions Lots 1-3","Miss Etta's Way","Leonardtown,MD,20650","St. Mary's","Penalty Settlement","PS-15-4425","04/13/2015","06/01/2015","Notice of Intent","Notice of Intent (Construction)",38.3224696832847,-76.6757899679124
"977",144799,"Chesapeake Wood Products LLC","5274 Bucktown Rd","Cambridge,MD,21613","Dorchester","Consent Order","SA-16-2395","04/22/2016",NA,"Non-Tidal Wetlands;Surface Water Discharge Permit",NA,38.5438450089941,-76.0379380338619
"978",144805,"Rockfish Solar LLC","4370 Renner Road","Waldorf,MD,20602","Charles","Penalty Settlement","C-16-2285","07/31/2015","09/29/2015","Sediment",NA,38.5891209909462,-76.8781199753486
"979",144828,"Fibred-Maryland, Inc","11600 River Rd, SE","Cumberland,MD,21501","Allegany","Consent Decree","CD-14-2059","08/06/2013",NA,"Surface Water Discharge Permit","Industrial Minor",39.5856869920237,-78.7471510274792
"980",144828,"Fibred-Maryland, Inc","11600 River Rd, SE","Cumberland,MD,21501","Allegany","Administrative Order","CD-14-2059","06/03/2010","07/31/2013","Surface Water Discharge Permit",NA,39.5856869920237,-78.7471510274792
"981",145071,"Thur","478 White Cedar lane","Severna Park,MD,21146","Anne Arundel","Penalty Settlement","PS-15-2200","12/30/2014","04/01/2015","Tidal Wetlands",NA,39.083817982715,-76.527198020697
"982",145207,"Langley, Hazel/43063 Hugh Drive Hollywood MD","43063 Hugh Dr","Hollywood,MD,20636","St. Mary's","Penalty Settlement","C-15-2219","02/11/2015","02/09/2016","Sediment;Surface Water Discharge Unauthorized","Industrial Minor",38.3674929938757,-76.5845680405784
"983",145258,"Genesis Healthcare Facility","251 Ballenger Center Dr, Genesis Healthcare","Frederick,MD,21703","Frederick","Penalty Settlement","PS-15-2222","02/24/2015","03/17/2015","Notice of Intent;Sediment","Notice of Intent (Construction)",39.3957715842939,-77.4365946921927
"984",145265,"Centre at Salisbury Mall","2300 N Salisbury Blvd","Salisbury,MD,21801","Wicomico","Penalty Settlement","PS-15-2230","03/04/2015","03/16/2015","Surface Water Discharge Unauthorized","Municipal Minor",38.3988429876563,-75.5661119868174
"985",145335,"Hess Property at Kingston Lane and Rt. 413","Routes 413 & Kingston Lane","Princess Anne,MD,21853","Somerset","Penalty Settlement","SAP-16-2339","11/24/2015","11/25/2015","Sediment",NA,38.1999300000576,-75.6923000002542
"986",145393,"Harris Bus & Terminal Service, Inc.","10245 Bird River Rd","Middle River,MD,21220","Baltimore","Consent Order","SAP-16-2340","11/24/2015","12/11/2015","Surface Water Discharge Unauthorized","Industrial Stormwater",39.3644140099074,-76.4219290276707
"987",145415,"Pank Property","10546 Harp Rd, Pank Farm LLC","Walkersville,MD,21793","Frederick","Consent Order","AP-16-2368","12/11/2015","07/05/2016","Notice of Intent;Sediment;Surface Water Discharge Unauthorized","Industrial Stormwater",39.486231980812,-77.306373034721
"988",145415,"Pank Property","10546 Harp Rd, Pank Farm LLC","Walkersville,MD,21793","Frederick","Consent Order","AP-16-2368","12/11/2015","07/05/2016","Notice of Intent;Sediment;Surface Water Discharge Unauthorized","Notice of Intent (Construction)",39.486231980812,-77.306373034721
"989",145421,"Andrew Kostyn","859 Spriggs Road","Arnold,MD,21012","Anne Arundel","Penalty Settlement","C-15-2217","02/04/2015","04/29/2015","Sediment",NA,39.0644839916649,-76.5002659598455
"990",145437,"Joint Base Andrews-Naval Air Facility","Airfield, North Perimeter Rd","Andrews Air Force Base,MD,20762","Prince George's","Penalty Settlement","PS-19-2558","11/05/2018","11/29/2018","Non-Tidal Wetlands;Notice of Intent;Sediment","Notice of Intent (Construction)",38.825408064504,-76.8782052326556
"991",145784,"James McIntyre Property","8811 Courthouse Hill Road","Pocomoke City,MD,21851","Worcester",NA,NA,NA,NA,"Not Assigned",NA,38.1223820047959,-75.5692859628883
"992",145871,"Command Technology","7604 Energy Pkwy","Curtis Bay,MD,21226","Anne Arundel","Penalty Settlement","PS-16-2303","08/25/2015","09/03/2015","Surface Water Discharge Permit;Surface Water Discharge Unauthorized","Industrial Minor",39.1766839793243,-76.5479470026007
"993",145901,"Wynfall Avenue","wynfall ave","Crisfield,MD,21817","Somerset","Settlement Agreement","SAP-16-2398","05/09/2016","06/02/2016","Non-Tidal Wetlands;Sediment","Municipal Minor",37.9904957932418,-75.8489588492637
"994",145993,"Burdick Hall Expansion","Union Ave, 39.394693 -76.612176","Towson,MD,21204","Baltimore","Penalty Settlement","C-17-2414","07/28/2016","08/24/2016","Sediment",NA,39.4044720002748,-76.6081199000175
"995",146083,"Delmarva Power and Light Co-Kenny Substation","6209 Public Landing Road","Snow Hill,MD,21863","Worcester","Settlement Agreement","SA-16-2373","03/01/2016","03/22/2016","Non-Tidal Wetlands",NA,38.172436843894,-75.372670950153
"996",146116,"Buildings 7 and 9 Demolition","39.000476 -77.102593","Bethesda,MD,20814","Montgomery","Penalty Settlement","PS-12-2471","05/26/2017","06/13/2017","Notice of Intent;Sediment","Notice of Intent (Construction)",38.9868150000259,-77.0986999997901
"997",146193,"MPA - Hawkins Point Landfill Area 5 Cap Replacement","39.210509 -76.552105","Baltimore,MD,21226","Baltimore","Penalty Settlement","C-16-2349","12/11/2015","01/12/2016","Sediment",NA,39.2379837881731,-76.580382659414
"998",146223,"Aspen Rd. & Amaranth Rd.","Aspen Rd-Aster Rd-AmaranthRd, 38.508785, -76.509158","Port Republic,MD,20676","Calvert","Penalty Settlement","C-15-2239","04/03/2015","04/28/2015","Sediment",NA,38.4939425003363,-76.5025037997622
"999",146252,"Agricopia Sections 8,9, condo 2 end of Llano Dr., La Plata","Agricopia Sec8,9, condo 2, end of Llano Dr.","La Plata,MD,20646","Charles","Penalty Settlement","C-15-2264","06/04/2015","06/17/2015","Sediment",NA,38.5295800002058,-76.9775499998764
"1000",146260,"Vincent DiLeonardi","2331 Turkey Point Rd","Essex,MD,21221","Baltimore","Penalty Settlement",NA,"04/26/2018","05/04/2018","Tidal Wetlands",NA,39.2919760104433,-76.402276985747
"1001",146307,"1301 Cabin Branch Storm Drain Discharge","1301 Cabin Branch Drive","Hyattsville,MD,20785","Prince George's","Settlement Agreement","SA-18-2515","04/23/2018","04/24/2018","Surface Water Discharge Unauthorized",NA,38.9125146373948,-76.9052710292967
"1002",146313,"Blue Heron Estates","2874 Glen Isle Road","Riva,MD,21140","Anne Arundel","Penalty Settlement","PS-15-2268","06/04/2015","07/15/2016","Notice of Intent","Notice of Intent (Construction)",38.9543833455514,-76.5920446495178
"1003",146332,"Driftwood Beach, Beach Dr, Lusby","Beach Dr.","Lusby,MD,20657","Calvert","Penalty Settlement","C-15-2229","03/19/2015","04/06/2015","Sediment",NA,38.3803713483885,-76.3911639147907
"1004",146444,"Reconstruction of I-695 Roadway From US 1 to MD 7","I-695 Roadway From US 1 to MD 7","Essex,MD,21221","Baltimore","Penalty Settlement","C-16-2296","08/05/2015","08/13/2015","Sediment",NA,39.3099250000225,-76.4458749995846
"1005",146446,"Federal Realty Investment Trust/ Rommel Holdings, INC. t/a Dennys","1995 E. Joppa Road","Parkville,MD,21234","Baltimore","Penalty Settlement","PS-15-2267","06/16/2015","06/24/2015","Surface Water Discharge Unauthorized",NA,39.3982439999709,-76.544223006946
"1006",146852,"Cove Point Rd. & Rt.2/4","Rt. 2/4/ & Cove Point Rd.","Lusby,MD,20657","Calvert","Penalty Settlement","C-15-2273","06/26/2015","07/24/2015","Sediment",NA,38.3887100215092,-76.4360398782397
"1007",147039,"BJ's Wholesale Club-Waterside Village","28564 Marlboro Ave","Easton,MD,21601","Talbot","Penalty Settlement","PS-16-2321","09/30/2015","11/17/2015","Sediment",NA,38.7841859823399,-76.0845190365511
"1008",147112,"Cannery Village","Flower Street","Berlin,MD,21811","Worcester","Penalty Settlement","C-17-2442","03/13/2017","04/09/2017","Sediment","Industrial Minor",38.3319730108589,-75.2007770628954
"1009",147115,"D&D Motors Inc","Rt. 220 McMullen Hwy., at 5520 McMullen Highway","Cumberland,MD,21502","Allegany","Penalty Settlement",NA,"06/16/2020",NA,"Sediment;Surface Water Discharge Permit","Notice of Intent (Construction)",39.6249200400344,-78.8058099330623
"1010",147161,"Assure/Exp Chilled Water capacity Industrial Water System(IWS) & Thermal Energy Storage Syst(TESS)","38.994965 -77.103061","Bethesda,MD,20894","Montgomery","Penalty Settlement","PS-20-2659","07/02/2020","06/16/2020","Notice of Intent;Sediment","Notice of Intent (Construction)",38.9960050002585,-77.096544999814
"1011",147441,"Century Carpet Cleaning Company","Inlet located @ Thunder Island Parking Lot","Ocean City,MD,21842","Worcester","Penalty Settlement","PS-16-2292","08/05/2015","08/28/2015","Surface Water Discharge Unauthorized","Industrial Minor",38.445054999882,-75.0571099998677
"1012",147459,"Washington College-New Academic Bldg","Washington Ave","Chestertown,MD,21620","Kent","Penalty Settlement","C-16-2200","08/31/2015","09/28/2015","Sediment",NA,39.2255250422118,-76.0709968223434
"1013",148027,"Nabely Family Trust","7410 Jefferson Ave","Hyattsville,MD,20785","Prince George's","Amended Complaint & Penalty","AOP-18-2533","06/01/2018","12/18/2018","Surface Water Discharge Unauthorized","Industrial Major",38.9382327901728,-76.8731205058394
"1014",148027,"Nabely Family Trust","7410 Jefferson Ave","Hyattsville,MD,20785","Prince George's","Consent Order","CO-19-2574","12/14/2018",NA,"Surface Water Discharge Unauthorized","Industrial Minor",38.9382327901728,-76.8731205058394
"1015",148049,"Lystra Meadows","10808 Greenspring Ave","Lutherville Timonium,MD,21093","Baltimore","Penalty Settlement","PS-16-2298","08/14/2015","09/09/2015","Notice of Intent","Notice of Intent (Construction)",39.4207470211474,-76.690518985161
"1016",148051,"2016 Brigadier Blvd.","2016 Brigadier Blvd.","Odenton,MD,21113","Anne Arundel","Penalty Settlement","C-16-2308","09/03/2015","10/01/2015","Sediment",NA,39.1088380058184,-76.7154020059174
"1017",148166,"Swan Harbor Dell Ltd-36 to 40 Walnut Street","36 to 40 Walnut Street","Aberdeen,MD,21001","Harford","Penalty Settlement","PS-18-2520","04/05/2018","04/24/2018","Non-Tidal Wetlands",NA,39.5268096138783,-76.1435616242702
